sample path, correct (yes/no), result,  expected
Samples/prog3.aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory,  30
Samples/prog10.aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory,  56
Samples/prog9.aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory,  2
Samples/prog1.aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory,  20
Samples/DEF/DEF(ProcRec).aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory, 
Samples/DEF/DEF(proc).aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory, 
Samples/DEF/DEF(const).aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory,  3
Samples/DEF/DEF(VAR).aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory, 
Samples/DEF/DEF(fun).aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory,  50
Samples/DEF/DEF(funRec).aps, no, test_samples.sh: line 38: ./evaluateur: No such file or directory,  6
